aardvark|anteater,placental
accuse|impeach,incriminate,charge,accuse
accused|defendant,suspect
accuser|disputant
accustom|habituate,change,alter,modify
accustomed|unaccustomed,customary,habitual,wonted,usual
acerbate|embitter,envenom,change,alter,modify
acerbic|astringent,sour,acid,acrid,bitter,blistering,caustic,sulfurous,venomous,virulent,vitriolic,unpleasant
acerbity|bitterness,bitter,tartness,sourness,sour,acidity,acrimony,jaundice,thorniness
acetate|salt,rayon
acetone|solvent
acetonic|solvent
ache|pain,hurt,suffer,perceive,comprehend,yearn,pine,languish,hanker,long,smart
achene|fruit
achievable|doable,manageable,realizable,possible
achieve|accomplish,attain,reach,succeed
achievement|action
achiever|winner,success,person,individual,someone,somebody,mortal,soul,loser
achromatic|argent,silver,silvery,ashy,blackish,chalky,charcoal,jet-black,sooty,ebony,grey,gray,grayish,inky,lily-white,neutral,pearly,sable,snow-white,snowy,whitish,off-white,colorless,chromatic
achy|painful
acid|acerbic,acrid,bitter,blistering,caustic,sulfurous,venomous,virulent,vitriolic,unpleasant,acidic,acidulous,sour,compound,dose,pane,superman
acidic|acid,alkaline,acidulous,sour
acidify|sour,sweeten,turn,alkalize
acidity|sourness,sour,tartness,alkalinity
acidosis|pathology
acidulous|acidic,acid,sour
acknowledge|admit,declare,adjudge,hold,deny,receipt,communicate,pass,notice,react,respond,recognize,thank,accept,know
acknowledged|accepted,assumed,assumptive,declarable,given,putative,purported,reputed,supposed,known
acme|height,elevation,peak,pinnacle,summit,superlative,meridian,tiptop,degree,level,stage,point,vertex,apex,extreme
acolyte|clergyman,reverend
acorn|fruit
acoustic|acoustical,physics,remedy,curative,cure,therapeutic
acoustical|acoustic,physics
acoustics|physics
acquaint|introduce,present,inform,familiarize
acquaintance|familiarity,information,relationship,friend,person,individual,someone,somebody,mortal,soul
acquainted|familiar
acquiesce|assent,accede,agree,dissent
acquiescence|acceptance,assent,agreement
acquiescent|biddable,obedient
acquirable|available
acquire|assume,adopt,take,change,grow,develop,produce,situate,locate,gain,acquire,lose,learn,evolve
acquirement|skill,acquisition,attainment,ability,power
acquisition|learning,skill,acquirement,attainment,ability,power
acquisitive|accumulative,avaricious,covetous,grabby,grasping,greedy,prehensile,possessive,predatory,rapacious,ravening,voracious,sordid
acquit|clear,discharge,exonerate,exculpate,pronounce,label,judge,convict,behave,bear,deport,conduct,comport,carry,hold,move
acquittal|conviction
acre|district,territory,dominion,town,port
acreage|area,expanse
acrid|pungent,tasty,acerbic,acid,bitter,blistering,caustic,sulfurous,venomous,virulent,vitriolic,unpleasant
acridity|smell,odor,acridness,bitterness,bitter
acridness|acridity,bitterness,bitter
acrimonious|bitter,resentful
acrimony|bitterness,acerbity,jaundice,tartness,thorniness
acrobat|athlete,jock
acrobatic|athletic,gymnastic,active
acrobatics|tumbling,gymnastics,aerobatics,flight,flying
acronym|form
acropolis|bastion,citadel
across|crosswise,crossways
acrostic|problem
acrylic|paint,fabric,cloth,material,textile
acting|impermanent,temporary,playacting,activity
actinium|element
action|activity,activeness,state,inactivity,inaction,proceeding,proceedings,process,plot,mechanism,drive,work,litigate,challenge,accomplish,execute,fulfill,fulfil,complete,finish,effect,effectuate
actionable|unjust
activate|trip,actuate,trigger,spark,initiate,pioneer,change,alter,modify,inactivate,aerate
activation|stimulation,inactivation,activity,beginning,start,commencement,deactivation
activator|substance,matter,inhibitor
active|progressive,inactive,fighting,operational,activist,hands-on,proactive,passive,involved,about,astir,acrobatic,athletic,gymnastic,agile,nimble,quick,spry,hyperactive,overactive,lively,sporty,energetic,brisk,bustling,busy,going,open,springy,alive,existent,existing,quiet,dynamic,live,extinct,eruptive,dormant,voice,person,individual,someone,somebody,mortal,soul
actively|passively
activeness|action,activity,state,inactivity,inaction,trait
activism|policy
activist|active,militant,reformer,crusader
activity|inactivity,action,activeness,state,inaction,capability,capacity,process,trait
actor|player,thespian,performer,doer,worker,person,individual,someone,somebody,mortal,soul
actress|actor,player,thespian
actual|existent,effective,potential,real,genuine,literal,true,factual,current
actuality|being,existence
actualize|realize,substantiate,make,create,represent
actually|really
actuarial|calculator,estimator,computer
actuary|statistician,calculator,estimator,computer
actuate|trip,trigger,activate,spark,initiate,pioneer,motivate,propel,move,prompt,incite,cause,make
actuation|propulsion,deed,feat,effort,exploit
actuator|mechanism
acuity|sight,vision,acuteness,sharpness,keenness,intelligence
acumen|shrewdness,astuteness,perspicacity
acupressure|shiatsu,treatment
acupuncture|treatment
acute|chronic,intense,sharp,incisive,keen,penetrating,penetrative,piercing,perceptive,obtuse,pointed,critical,ague,accent
acutely|chronically,sharply,sharp,astutely,shrewdly,sagaciously
acuteness|sensitivity,sensibility,acuity,sharpness,keenness,intelligence,obtuseness
acyclovir|medicine,medication,medicament
ad-lib|spontaneous,unwritten,unscripted,extempore,impromptu,offhand,offhanded,off-the-cuff,unrehearsed,unprepared,remark,comment,improvise,extemporize,perform,execute
adage|proverb,byword,saying,expression,locution
adagio|slow,opus,composition,piece,passage,dancing,dance
adamant|inexorable,intransigent,inflexible,diamond,carbon
adapt|accommodate,change,alter,vary,adjust,conform
adaptability|ability
adaptable|adjustable,convertible,elastic,flexible,pliable,pliant,universal,variable
adaptation|version,writing,adjustment,alteration,modification
adapter|arranger,transcriber,musician,adaptor,device
adaptor|adapter,device
add-on|addition,component,constituent,element,accessory,appurtenance,supplement
addable|additive
addend|number
addendum|supplement,postscript,matter
adder|calculator,estimator,computer,viper
addict|freak,junkie,junky,enthusiast,partisan,user,hook,habituate,accustom
addicted|alcoholic,confirmed,habitual,inveterate,dependent,dependant,hooked,strung-out
addiction|dependence,dependency,habituation,craving,award
addictive|nonaddictive
addition|add-on,component,constituent,element,increase,step-up,subtraction,gain,accession,acquisition,suburb,suburbia,summation,plus
additional|extra,additive
additive|accumulative,cumulative,addable,extra,additional,incremental,supplemental,linear,nonlinear,addition,add-on
addle|muddle,puddle,jumble,confuse,spoil
address|code,speech,delivery,destination,direction,instruction,stance,savoir-faire,tact,tactfulness,communicate,speak,direct,label,target,place,point,utilize,apply,employ,call,address,access,cover,treat,handle,plow,deal,broach,initiate,accost,come,align,adjust
addressee|recipient,receiver
adduce|cite,testify,prove,evidence,show
adenine|purine
adenoidal|pinched,nasal,high,high-pitched
adept|expert,good,practiced,proficient,skillful,skilful,skilled,champion,sensation,maven,virtuoso,genius,hotshot,star,superstar,whiz,whizz,wizard
adeptness|adroitness,deftness,facility,quickness,skillfulness
adequacy|adequateness,inadequacy,sufficiency,quality
adequate|capable,competent,satisfactory,inadequate,decent,enough,sufficient,passable,tolerable
adequately|inadequately
adequateness|adequacy,inadequacy
adhere|match,correspond,check,jibe,gibe,tally,agree,implement,cling,cleave,stick,cohere,touch,adjoin,meet,contact,adopt,follow,espouse,bond,bind,attach
adherence|attachment,adhesion,support,adhesiveness,bond,stickiness
adherent|adhesive,disciple,follower
adhesion|pathology,adhesiveness,adherence,bond,stickiness,attachment,support
adhesive|adherent,agglutinate,coherent,tenacious,cohesive,gluey,glutinous,gummy,mucilaginous,pasty,sticky,viscid,viscous,gooey,icky,resinous,tarry,self-sealing,nonadhesive,material,stuff
adhesiveness|adhesion,adherence,bond,stickiness
adieu|adios,bye-bye,good-by,goodbye,farewell
adios|adieu,bye-bye,good-by,goodbye,farewell
adipose|fatty
adjacency|contiguity,nearness,closeness
adjacent|next,close,adjoining,conterminous,contiguous,neighboring,connected,near,nigh
adjectival|adjective
adjective|adjectival,procedural,substantive,modifier,qualifier
adjoin|border,edge,abut,march,butt,touch,adjoin,meet,contact
adjoining|adjacent,conterminous,contiguous,neighboring,connected
adjourn|recess,stop,finish,terminate,cease,withdraw,retire,close,fold
adjournment|dissolution,termination,ending,conclusion,postponement,deferment,deferral
adjudge|declare,hold,evaluate,judge
adjudicate|judge,decide,determine,settle,resolve,terminate
adjudication|judgment,judgement,assessment
adjudicative|adjudicatory,judgment,judgement,assessment
adjudicator|person,individual,someone,somebody,mortal,soul
adjudicatory|adjudicative,judgment,judgement,assessment
adjunct|accessory,ancillary,appurtenant,auxiliary,subsidiary,supportive,assistant,subordinate,low-level,inessential,nonessential,associate,construction,expression
adjuration|entreaty,prayer,appeal
adjure|beseech,entreat,press,conjure,plead,charge,saddle,burden
adjust|correct,change,alter,modify,align,reorient,skew,conform,adapt,accommodate,decide,settle,resolve,adjudicate
adjustable|adaptable,changeable
adjuster|adjustor,investigator
adjustment|fitting,improvement,betterment,advance,alteration,modification,change,registration,readjustment,calibration,adaptation,allowance,recompense
adjustor|adjuster,investigator
adjutant|aide,aide-de-camp,officer,stork
adman|advertiser,publicist
administer|administrate,manage,deal,care,handle,give,apply,distribute,dispense,allot,treat
administrate|administer,manage,deal,care,handle
admirable|estimable,pleasing
admirably|laudably,commendable
admiralty|position,post,berth,office,spot,billet,place,situation
admiration|esteem,liking,wonder,wonderment,astonishment,amazement,appreciation,blessing,approval,approving
admire|respect,esteem,value,prize,look
admirer|supporter,protagonist,champion,booster,friend,advocate,proponent,exponent,person,individual,someone,somebody,mortal,soul,adorer,lover
admiring|loving
admissible|allowable,permissible,inadmissible
admission|admittance,entrance,entry,ingress,incoming
admit|acknowledge,declare,adjudge,hold,deny,permit,allow,countenance,reject,include,exclude,accept,take,have,accommodate,serve
admittance|entree,access,accession,right,admission,entrance,entry,ingress,incoming
admittedly|avowedly,confessedly
admix|blend,flux,conflate,commingle,fuse,coalesce,meld,combine,merge
admixture|alloy,impurity,ingredient,mixture,combination
admonish|warn,discourage,advise,counsel,caution,reprove,knock,criticize
admonishment|admonition,monition,rebuke,reproof,reprehension,reprimand
admonition|monition,warning,advice,admonishment,rebuke,reproof,reprehension,reprimand
admonitory|cautionary,exemplary,monitory,warning,dissuasive,reproachful,unfavorable
adobe|clay,brick
adolescence|immaturity
adolescent|teen,teenage,teenaged,young,immature,jejune,juvenile,puerile,stripling,teenager
adopt|follow,espouse,choose,take,select,borrow,accept,have,assume,acquire,change,dramatize,write,compose,indite,embrace
adopted|adoptive,native
adopter|parent
adoption|acceptance,acceptation,espousal,blessing,approval,approving,proceeding,proceedings,borrowing
adoptive|adopted,foster,surrogate,biological,native
adorable|endearing,lovely,lovable,loveable
adorably|endearingly
adoration|worship,love,idolization,admiration,appreciation
adore|love
adorer|admirer,lover
adoring|worshipful,reverent,doting,fond,loving
adorn|decorate,grace,ornament,embellish,beautify,change,alter,modify,deck,invest,clothe,equip,outfit
adornment|decoration,ornament
adrenal|endocrine
adrenalin|epinephrine,adrenaline,hormone,endocrine
adrenaline|epinephrine,hormone,endocrine
adrift|afloat,aimless,rudderless,purposeless
adroit|clever,ingenious,artful,clean,neat,cunning,deft,dexterous,dextrous,handy,quick-witted,maladroit
adroitly|maladroitly
adroitness|adeptness,deftness,facility,quickness,skillfulness
adulate|flatter,blandish
adulation|flattery
adulator|flatterer,follower
adulatory|flattering
adult|full-grown,grown,grownup,mature,person,individual,someone,somebody,mortal,soul,juvenile,animal,beast,brute,creature,fauna
adulterant|extraneous,foreign,substance,matter
adulterate|impure,stretch,dilute,debase,corrupt,spoil
adulteration|debasement,impurity,change
adulterer|fornicator,libertine,debauchee
adulteress|hussy,jade,slut,strumpet,trollop,adulterer,fornicator
adulterous|extramarital,illicit,unfaithful
adultery|fornication
adulthood|maturity
adumbrate|sketch,outline,describe,depict,draw,intimate,insinuate,hint,suggest
adumbration|prediction,anticipation
advance|beforehand,early,advanced,front,progress,progression,travel,improvement,betterment,shift,overture,approach,feeler,suggestion,proposition,proffer,procession,advancement,motion,movement,move,amount,rise,increase,step-up,recede,propose,suggest,advise,boost,supercharge,promote,further,encourage,support,displace,back,gain,develop,regress,better,improve,amend,ameliorate,meliorate,upgrade,raise,elevate,delegate,designate,depute,assign,demote,lend,loan,mount,climb
advanced|precocious,late,later,innovative,modern,progressive,high,high-tech,hi-tech,ripe,civilized,advance,front
advancement|promotion,furtherance,progress,progression,procession,advance,motion,movement,move,development
advantage|vantage,asset,plus,disadvantage,point,reward,benefit,welfare,penalty,prefer,favor
advantageous|beneficial,good,plus,positive,profitable,preferential,expedient,opportune,appropriate
advent|coming,arrival,season
adventitious|accidental,extrinsic
adventure|escapade,undertaking,project,task,labor,gamble,chance,risk,hazard,seek,attempt,essay,assay,venture,stake,jeopardize
adventurer|person,individual,someone,somebody,mortal,soul,explorer
adventuress|adventurer
adventurous|audacious,daring,venturesome,venturous,sporting,bold,brave,courageous,incautious
adverb|modifier,qualifier
adverbial|adverb
adversary|antagonist,opponent,resister,person,individual,someone,somebody,mortal,soul
adverse|harmful,inauspicious,untoward,unfavorable,contrary
adversity|hardship,misfortune
advert|advertising,promotion,publicity,packaging,attend,hang,listen,allude,touch,hint,suggest,mention,cite,name,refer,mean
advertise|publicize,announce,denote,promote,push,praise
advertiser|adman,publicist
advertising|advert,promotion,publicity,packaging,business
advertorial|advertising,advert
advice|proposal
advisability|wisdom,soundness
advisable|better,best,well,prudent,wise,inadvisable
advise|counsel,discuss,notify,apprise,inform,propose,suggest,declare
advised|well-advised,considered,wise,ill-advised,informed
advisedly|deliberately,purposely,accidentally
advisement|deliberation
adviser|advisor,consultant,authority
advisor|adviser,consultant,authority
advisory|consultative,informative,announcement,promulgation
advocacy|support
advocate|proponent,exponent,person,individual,someone,somebody,mortal,soul,counsel,counselor,counsellor,pleader,lawyer,attorney,recommend,urge,propose,suggest,advise,preach,press,exhort
aegis|auspices,protection,endorsement,breastplate
aeon|years
aerate|expose,activate,change,alter,modify,oxygenate,process,treat
aeration|action,activity
aerator|apparatus,setup
aerial|airy,ethereal,unreal,pass,passing,antenna
aerialist|acrobat
aerie|eyrie,habitation
aerobatics|acrobatics,flight,flying
aerobic|anaerobic
aerodynamic|mechanics,streamlined,flowing,sleek,smooth
aerodynamics|mechanics
aeronautic|aeronautical,physics
aeronautical|aeronautic,physics
aeronautics|astronautics,physics
aerosol|cloud,dispenser
aerospace|region,part
aesthete|esthete,connoisseur,cognoscenti
aesthetic|esthetic,philosophy,artistic,beautiful,cosmetic,sensuous,pleasing,tasteful
aesthetics|esthetics,philosophy
affability|amiability,bonhomie,geniality,friendliness
affable|amiable,cordial,genial,friendly
affably|amiably,genially
affair|matter,thing,concern,intimacy,liaison,involvement,amour,occasion,function
affairs|concern,transaction,dealing,dealings
affect|feeling,impact,touch,change,alter,modify,involve,regard,refer,pertain,relate,concern,feign,sham,pretend,dissemble,misrepresent,belie,impress,move,strike
affectation|mannerism,pose,pretense,simulation
affected|smitten,stricken,struck,subject,taken,affected,touched,unaffected,unnatural,strained,artificial,contrived,hokey,stilted,constrained,forced,elocutionary,mannered,studied,deliberate,sick,emotional,unmoved
affecting|poignant,touching,moving
affectingly|poignantly,touchingly
affection|fondness,tenderness,heart,warmness,feeling
affectionate|caring,fond,tender,warm,loving
afferent|centripetal,receptive,sensory,efferent,nerve
affiance|betroth,engage,plight
affidavit|testimony,instrument
affiliate|associate,organization,join,consort,assort,interact
affiliation|association,tie-up,relationship
affinity|force,attraction,kinship,relationship,relation,resemblance
affirm|confirm,corroborate,sustain,substantiate,support,negate,verify,assert,avow,aver,swan,swear,declare
affirmation|avowal,assertion,asseveration,statement,commitment,dedication,judgment,judgement,reversal
affirmative|favorable,positive,negative,optimistic,avowal,affirmation
affix|attach,append,supplement
afflatus|inspiration
afflict|upset,discompose,disconcert,discomfit,smite,damage,trouble,pain,hurt
affliction|adversity,hardship,trouble
affluence|richness,wealth,wealthiness
affluent|flush,loaded,moneyed,wealthy,rich,have,feeder,tributary,confluent,branch
